id,full_address,house_number,street_name,locality1,locality2,locality3,city_town,county,daft_sticker,ad_info,date_of_sale, sold_price_eur , asking_price_eur , price_diff ,bed_no,bath_no,house_type,size
364,2 linden fields grove avenue blackrock dublin,2, linden fields,grove avenue,,,blackrock,dublin,,ADVANTAGE,01/12/2023,"1,550,000.00","1,495,000.00","55,000.00",5,5,Detached,255
563,8 homeleigh porterstown road castleknock dublin 15 dublin,8, homeleigh,porterstown road,castleknock,,dublin 15,dublin,,,20/12/2023,"1,525,000.00","1,300,000.00","225,000.00",5,4,Detached,289
846,13 mountpleasant square ranelagh dublin 6 dublin,13, mountpleasant square,ranelagh,,,dublin 6,dublin,,,13/10/2023,"1,511,000.00","1,250,000.00","261,000.00",3,2,Townhouse,190
115,3 brookwood frenchfurze carrigaline cork,3, brookwood,frenchfurze,,,carrigaline,cork,ENERGY EFFICIENT,ADVANTAGE,20/12/2023,"1,500,000.00","1,500,000.00",0,5,7,Detached,520
1042,1 drumnigh wood portmarnock dublin,1, drumnigh wood,,,,portmarnock,dublin,,,10/07/2024,"1,490,000.00","1,600,000.00","-110,000.00",5,7,Detached,
387,3 kent terrace dalkey dublin,3, kent terrace,,,,dalkey,dublin,,,08/05/2024,"1,450,000.00","1,495,000.00","-45,000.00",4,3,Terrace,209
843,39 ashfield road ranelagh dublin 6 dublin,39, ashfield road,ranelagh,,,dublin 6,dublin,,,27/10/2023,"1,420,000.00","1,250,000.00","170,000.00",3,5,Terrace,171
1043,3 drumnigh wood portmarnock dublin,3, drumnigh wood,,,,portmarnock,dublin,,,22/12/2023,"1,380,000.00","1,495,000.00","-115,000.00",5,6,Detached,459
539,15 hawthorn lawn castleknock dublin 15 dublin,15, hawthorn lawn,castleknock,,,dublin 15,dublin,,,20/11/2023,"1,350,000.00","1,295,000.00","55,000.00",4,4,Detached,180
1968,12 eagle valley enniskerry wicklow,12, eagle valley,,,,enniskerry,wicklow,,,02/11/2023,"1,345,000.00","1,150,000.00","195,000.00",5,5,Detached,238
794,45 claremont road sandymount dublin 4 dublin,45, claremont road,sandymount,,,dublin 4,dublin,VIEWING ADVISED,ADVANTAGE,27/10/2023,"1,340,000.00","1,375,000.00","-35,000.00",3,2,Semi-D,144
356,8 hyde park gardens blackrock dublin,8, hyde park gardens,,,,blackrock,dublin,,,02/02/2024,"1,340,000.00","1,395,000.00","-55,000.00",4,3,Semi-D,201
847,4 prices place ranelagh dublin 6 dublin,4, prices place,ranelagh,,,dublin 6,dublin,,ADVANTAGE,22/03/2024,"1,340,000.00","1,650,000.00","-310,000.00",3,3,Terrace,288
852,5 leinster square rathmines dublin 6 dublin,5, leinster square,rathmines,,,dublin 6,dublin,,,20/12/2023,"1,335,000.00","1,000,000.00","335,000.00",6,7,Terrace,222
386,4 barnacoille park dalkey dublin,4, barnacoille park,,,,dalkey,dublin,,,21/02/2024,"1,330,000.00","1,295,000.00","35,000.00",4,2,Bungalow,180
1038,40 south avenue mount merrion dublin,40, south avenue,,,,mount merrion,dublin,,,18/12/2023,"1,270,000.00","1,100,000.00","170,000.00",5,2,Detached,200
756,71 kincora drive clontarf dublin 3 dublin,71, kincora drive,clontarf,,,dublin 3,dublin,,,15/01/2024,"1,250,000.00","1,250,000.00",0,4,2,Semi-D,195
841,38 anna villa ranelagh dublin 6 dublin,38, anna villa,ranelagh,,,dublin 6,dublin,,,03/01/2024,"1,250,000.00","1,250,000.00",0,4,,Terrace,191
854,42 greenmount road terenure dublin 6 dublin,42, greenmount road,terenure,,,dublin 6,dublin,,,15/12/2023,"1,250,000.00","1,195,000.00","55,000.00",5,5,End of Terrace,221
635,2 priory court marley grange rathfarnham dublin 16 dublin,2, priory court,marley grange,rathfarnham,,dublin 16,dublin,,,10/06/2024,"1,250,000.00","1,395,000.00","-145,000.00",5,3,Detached,220
944,20 daneswell place glasnevin dublin 9 dublin,20, daneswell place,glasnevin,,,dublin 9,dublin,,,12/12/2023,"1,245,000.00","1,095,000.00","150,000.00",5,4,Semi-D,238
875,13 charleville road phibsborough dublin 7 dublin,13, charleville road,phibsborough,,,dublin 7,dublin,,,20/12/2023,"1,200,000.00","995,000.00","205,000.00",4,3,Terrace,220
842,8 annesley park ranelagh dublin 6 dublin,8, annesley park,ranelagh,,,dublin 6,dublin,,,10/11/2023,"1,200,000.00","1,350,000.00","-150,000.00",4,2,End of Terrace,120
511,21 butterfield drive rathfarnham dublin 14 dublin,21, butterfield drive,rathfarnham,,,dublin 14,dublin,,,12/06/2024,"1,196,127.00","1,350,000.00","-153,873.00",4,2,Detached,144
825,11 terenure park terenure dublin 6 dublin,11, terenure park,terenure,,,dublin 6,dublin,,,05/12/2023,"1,195,000.00","1,150,000.00","45,000.00",4,2,Terrace,149
855,44 hannaville park terenure dublin 6 dublin,44, hannaville park,terenure,,,dublin 6,dublin,,ADVANTAGE,10/11/2023,"1,180,000.00","1,250,000.00","-70,000.00",5,2,Semi-D,193
760,20 victoria road clontarf dublin 3 dublin,20, victoria road,clontarf,,,dublin 3,dublin,,,12/04/2024,"1,175,000.00","1,175,000.00",0,5,2,Semi-D,204
754,24 dollymount avenue clontarf dublin 3 dublin,24, dollymount avenue,clontarf,,,dublin 3,dublin,,,14/12/2023,"1,160,000.00","1,100,000.00","60,000.00",4,2,Semi-D,172
958,18 mellifont avenue dun laoghaire dublin,18, mellifont avenue,,,,dun laoghaire,dublin,,,20/12/2023,"1,157,500.00","1,200,000.00","-42,500.00",4,2,Detached,199
1077,38 merville road stillorgan dublin,38, merville road,,,,stillorgan,dublin,,,14/11/2023,"1,150,000.00","1,150,000.00",0,4,4,Detached,201
977,25a baskin cottages baskin lane kinsealy dublin,25a, baskin cottages,baskin lane,,,kinsealy,dublin,,ADVANTAGE,06/12/2023,"1,150,000.00","1,125,000.00","25,000.00",5,4,Detached,315
828,7 merton crescent mount saint annes milltown dublin 6 dublin,7, merton crescent,mount saint annes,milltown,,dublin 6,dublin,,,13/12/2023,"1,125,000.00","1,195,000.00","-70,000.00",5,3,Terrace,216
653,67 pine valley avenue rathfarnham dublin 16 dublin,67, pine valley avenue,rathfarnham,,,dublin 16,dublin,,,23/08/2024,"1,100,000.00","1,100,000.00",0,6,3,Detached,209
789,18 belmont avenue donnybrook dublin 4 dublin,18, belmont avenue,donnybrook,,,dublin 4,dublin,,,20/12/2023,"1,100,000.00","1,100,000.00",0,4,2,Terrace,186
782,26 serpentine park ballsbridge dublin 4 dublin,26, serpentine park,ballsbridge,,,dublin 4,dublin,SOUTH FACING,ADVANTAGE,05/12/2023,"1,100,000.00","1,100,000.00",0,4,1,Semi-D,130
372,25a woodbine park booterstown dublin,25a, woodbine park,,,,booterstown,dublin,,,25/06/2024,"1,080,000.00","995,000.00","85,000.00",4,2,Detached,143
522,27 whitethorn road clonskeagh dublin 14 dublin,27, whitethorn road,clonskeagh,,,dublin 14,dublin,,ADVANTAGE,12/04/2024,"1,080,000.00","1,125,000.00","-45,000.00",4,2,Semi-D,124
819,89 grove park rathmines dublin 6 dublin,89, grove park,rathmines,,,dublin 6,dublin,,,29/01/2024,"1,075,000.00","1,100,000.00","-25,000.00",3,3,Detached,150
817,24 garville lane rathgar dublin 6 dublin,24, garville lane,rathgar,,,dublin 6,dublin,,,16/01/2024,"1,055,000.00","1,065,000.00","-10,000.00",4,4,Detached,199
542,167 park avenue castleknock dublin 15 dublin,167, park avenue,castleknock,,,dublin 15,dublin,,,18/12/2023,"1,040,000.00","1,040,000.00",0,4,3,Detached,
1031,6 fairacre the warren malahide dublin,6, fairacre,the warren,,,malahide,dublin,SOUTH FACING,ADVANTAGE,07/12/2023,"1,025,000.00","1,050,000.00","-25,000.00",4,3,Detached,214
964,32 carnegie drive honey park dun laoghaire dublin,32, carnegie drive,honey park,,,dun laoghaire,dublin,,,26/10/2023,"1,002,000.00","975,000.00","27,000.00",5,4,Detached,204
934,31 clonturk park drumcondra dublin 9 dublin,31, clonturk park,drumcondra,,,dublin 9,dublin,,,12/04/2024,"1,000,000.00","795,000.00","-205,000.00",4,3,Terrace,142
1023,15 lambay court malahide dublin,15, lambay court,,,,malahide,dublin,,,06/12/2023,"995,000.00","850,000.00","145,000.00",4,2,Detached,119
536,49 castleknock park castleknock dublin 15 dublin,49, castleknock park,castleknock,,,dublin 15,dublin,,,20/11/2023,"985,000.00","925,000.00","60,000.00",4,3,Detached,
353,83 barclay court blackrock dublin,83, barclay court,,,,blackrock,dublin,,,09/03/2024,"980,000.00","950,000.00","30,000.00",4,2,Semi-D,128
510,65 ballytore road rathfarnham dublin 14 dublin,65, ballytore road,rathfarnham,,,dublin 14,dublin,,,17/11/2023,"975,000.00","875,000.00","100,000.00",4,3,Semi-D,175
848,112 sandford road ranelagh dublin 6 dublin,112, sandford road,ranelagh,,,dublin 6,dublin,,,22/03/2024,"975,000.00","950,000.00","25,000.00",3,1,Terrace,125
512,85 butterfield park rathfarnham dublin 14 dublin,85, butterfield park,rathfarnham,,,dublin 14,dublin,,,14/12/2023,"973,000.00","885,000.00","88,000.00",4,2,Semi-D,168
357,12 leopardstown lawn blackrock dublin,12, leopardstown lawn,,,,blackrock,dublin,,,10/11/2023,"965,000.00","945,000.00","20,000.00",5,3,Detached,184
352,5 barclay court blackrock dublin,5, barclay court,,,,blackrock,dublin,,,17/11/2023,"960,000.00","850,000.00","110,000.00",4,4,Semi-D,155
527,1 grange downs rathfarnham dublin 14 dublin,1, grange downs,rathfarnham,,,dublin 14,dublin,,,30/03/2024,"960,000.00","950,000.00","10,000.00",5,2,Detached,167
1018,105 ard na mara malahide dublin,105, ard na mara,,,,malahide,dublin,,,10/10/2023,"951,000.00","940,000.00","11,000.00",4,1,Detached,175
1044,11 the dunes portmarnock dublin,11, the dunes,,,,portmarnock,dublin,,,01/12/2023,"950,000.00","875,000.00","75,000.00",4,3,Detached,166
849,10 tudor road ranelagh dublin 6 dublin,10, tudor road,ranelagh,,,dublin 6,dublin,,,07/11/2023,"950,000.00","975,000.00","-25,000.00",3,1,Semi-D,120
945,20 iona park glasnevin dublin 9 dublin,20, iona park,glasnevin,,,dublin 9,dublin,VIEWING ADVISED,ADVANTAGE,12/02/2024,"945,000.00","900,000.00","45,000.00",3,3,Semi-D,179
1024,3 lawson spinney malahide dublin,3, lawson spinney,,,,malahide,dublin,,ADVANTAGE,08/07/2024,"945,000.00","935,000.00","10,000.00",4,3,Detached,151
1020,141 gaybrook lawns malahide dublin,141, gaybrook lawns,,,,malahide,dublin,,ADVANTAGE,16/08/2024,"945,000.00","975,000.00","-30,000.00",4,3,Detached,165
1029,37 milford off yellow walls malahide dublin,37, milford,off yellow walls,,,malahide,dublin,,,21/11/2023,"937,000.00","925,000.00","12,000.00",4,3,Detached,125
681,21 meadowfield sandyford dublin 18 dublin,21, meadowfield,sandyford,,,dublin 18,dublin,,,05/12/2023,"935,000.00","895,000.00","40,000.00",5,6,Detached,226
938,65 hollybank road drumcondra dublin 9 dublin,65, hollybank road,drumcondra,,,dublin 9,dublin,,,08/03/2024,"935,000.00","895,000.00","40,000.00",4,3,Terrace,185
959,19 mulgrave street dun laoghaire dublin,19, mulgrave street,,,,dun laoghaire,dublin,VIEWING ADVISED,ADVANTAGE,24/04/2024,"930,000.00","875,000.00","55,000.00",5,5,Terrace,151
824,149 greenlea road terenure dublin 6 dublin,149, greenlea road,terenure,,,dublin 6,dublin,,,01/07/2024,"925,000.00","925,000.00",0,4,2,Semi-D,140
914,32 saint kevins road south circular road portobello dublin 8 dublin,32, saint kevins road,south circular road,portobello,,dublin 8,dublin,,,08/01/2024,"923,300.00","825,000.00","98,300.00",2,1,Terrace,125
358,20 linden grove blackrock dublin,20, linden grove,,,,blackrock,dublin,,,31/10/2023,"923,000.00","895,000.00","28,000.00",4,2,Semi-D,129
811,17 saint margarets avenue raheny dublin 5 dublin,17, saint margarets avenue,raheny,,,dublin 5,dublin,,,07/12/2023,"922,500.00","825,000.00","97,500.00",3,3,Bungalow,192
770,7 lea crescent sandymount dublin 4 dublin,7, lea crescent,sandymount,,,dublin 4,dublin,,,15/11/2023,"906,000.00","895,000.00","11,000.00",3,2,Terrace,103
537,31 fairhaven walk castleknock dublin 15 dublin,31, fairhaven walk,castleknock,,,dublin 15,dublin,,,31/10/2023,"902,000.00","850,000.00","52,000.00",4,3,Semi-D,131
860,147 terenure road west terenure dublin 6 dublin,147, terenure road west,terenure,,,dublin 6,dublin,,,31/10/2023,"900,000.00","875,000.00","25,000.00",4,1,Semi-D,133
583,8 carpenterstown road castleknock dublin 15 dublin,8, carpenterstown road,castleknock,,,dublin 15,dublin,,,17/11/2023,"895,000.00","820,000.00","75,000.00",6,4,Detached,175
1074,14 coolnevaun stillorgan dublin,14, coolnevaun,,,,stillorgan,dublin,,,28/11/2023,"885,000.00","775,000.00","110,000.00",5,2,Semi-D,146
543,52 phoenix park avenue castleknock dublin 15 dublin,52, phoenix park avenue,castleknock,,,dublin 15,dublin,,,15/11/2023,"880,000.00","725,000.00","155,000.00",4,3,Terrace,156
769,12 cranfield place sandymount dublin 4 dublin,12, cranfield place,sandymount,,,dublin 4,dublin,,,18/12/2023,"876,118.00","795,000.00","81,118.00",3,2,Terrace,108
652,113 pine valley avenue rathfarnham dublin 16 dublin,113, pine valley avenue,rathfarnham,,,dublin 16,dublin,,,06/12/2023,"875,000.00","895,000.00","-20,000.00",4,2,Detached,140
971,148 avondale road killiney dublin,148, avondale road,,,,killiney,dublin,,,29/11/2023,"874,950.00","874,950.00",0,5,1,Detached,223
748,3 inverness road fairview dublin 3 dublin,3, inverness road,fairview,,,dublin 3,dublin,,,31/10/2023,"870,000.00","775,000.00","95,000.00",4,2,Terrace,183
363,50 wynberg park blackrock dublin,50, wynberg park,,,,blackrock,dublin,,,18/12/2023,"860,000.00","835,000.00","25,000.00",3,,Semi-D,111
1022,24 island view malahide dublin,24, island view,,,,malahide,dublin,,,23/11/2023,"860,000.00","850,000.00","10,000.00",5,3,Detached,153
1223,41 oakwood manor kenmare kerry,41, oakwood manor,,,,kenmare,kerry,,,03/04/2024,"855,400.00","925,000.00","-69,600.00",4,5,Detached,257
648,4 hermitage lawn rathfarnham dublin 16 dublin,4, hermitage lawn,rathfarnham,,,dublin 16,dublin,,,13/12/2023,"854,000.00","825,000.00","29,000.00",4,2,Detached,137
783,8 shelbourne road ballsbridge dublin 4 dublin,8, shelbourne road,ballsbridge,,,dublin 4,dublin,VIEWING ADVISED,ADVANTAGE,24/11/2023,"850,000.00","795,000.00","55,000.00",3,2,Terrace,119
845,5 cullenswood park ranelagh dublin 6 dublin,5, cullenswood park,ranelagh,,,dublin 6,dublin,,,08/12/2023,"847,500.00","825,000.00","22,500.00",3,1,Terrace,99
857,48 parkmore drive terenure dublin 6 dublin,48, parkmore drive,terenure,,,dublin 6,dublin,,,17/11/2023,"835,000.00","825,000.00","10,000.00",3,2,Semi-D,117
667,70 beech park road foxrock dublin 18 dublin,70, beech park road,foxrock,,,dublin 18,dublin,,ADVANTAGE,21/12/2023,"830,000.00","875,000.00","-45,000.00",4,1,Semi-D,126
355,12 hollypark avenue blackrock dublin,12, hollypark avenue,,,,blackrock,dublin,,,09/05/2024,"825,000.00","825,000.00",0,4,2,Detached,140
669,17 corbawn avenue shankill dublin 18 dublin,17, corbawn avenue,shankill,,,dublin 18,dublin,,,05/06/2024,"825,000.00","845,000.00","-20,000.00",3,1,Bungalow,131
832,18 the drive cypress downs templeogue dublin 6 dublin,18, the drive,cypress downs,templeogue,,dublin 6,dublin,,,22/03/2024,"820,000.00","825,000.00","-5,000.00",4,2,Detached,153
758,51 seacourt clontarf dublin 3 dublin,51, seacourt,clontarf,,,dublin 3,dublin,,,02/02/2024,"820,000.00","850,000.00","-30,000.00",4,3,Detached,138
809,17a foxs lane raheny dublin 5 dublin,17a, foxs lane,raheny,,,dublin 5,dublin,,,06/03/2024,"810,000.00","725,000.00","85,000.00",3,3,Semi-D,111
642,109a beech lawn dundrum dublin 16 dublin,109a, beech lawn,dundrum,,,dublin 16,dublin,,ADVANTAGE,07/12/2023,"810,000.00","750,000.00","60,000.00",4,4,Detached,190
438,4 cremore road glasnevin dublin 11 dublin,4, cremore road,glasnevin,,,dublin 11,dublin,,,20/03/2024,"810,000.00","895,000.00","-85,000.00",4,1,Semi-D,
514,22 the court hazelbrook square churchtown dublin 14 dublin,22, the court,hazelbrook square,churchtown,,dublin 14,dublin,,,14/12/2023,"807,000.00","775,000.00","32,000.00",4,4,Terrace,139
643,13 wesley heights dundrum dublin 16 dublin,13, wesley heights,dundrum,,,dublin 16,dublin,,,21/02/2024,"805,000.00","825,000.00","-20,000.00",4,3,Detached,154
744,256 clontarf road clontarf dublin 3 dublin,256, clontarf road,clontarf,,,dublin 3,dublin,,,26/03/2024,"800,000.00","640,000.00","160,000.00",3,1,End of Terrace,118
936,41 grace park road drumcondra dublin 9 dublin,41, grace park road,drumcondra,,,dublin 9,dublin,SPACIOUS GARDEN,ADVANTAGE,23/02/2024,"796,000.00","795,000.00","1,000.00",5,1,Semi-D,160
835,38 templeville road templeogue templeogue dublin 6 dublin,38, templeville road,templeogue,templeogue,,dublin 6,dublin,,,23/11/2023,"795,000.00","725,000.00","70,000.00",4,2,Semi-D,126
547,54 sycamore avenue castleknock dublin 15 dublin,54, sycamore avenue,castleknock,,,dublin 15,dublin,,,30/05/2024,"795,000.00","845,000.00","-50,000.00",5,4,Semi-D,228
967,7 greythorn manor glenageary dublin,7, greythorn manor,,,,glenageary,dublin,,,18/07/2024,"788,546.00","995,000.00","-206,454.00",3,3,Duplex,156
781,120 lansdowne park ballsbridge dublin 4 dublin,120, lansdowne park,ballsbridge,,,dublin 4,dublin,,,29/09/2023,"787,000.00","725,000.00","62,000.00",3,2,Townhouse,81
651,16 odins way rathfarnham dublin 16 dublin,16, odins way,rathfarnham,,,dublin 16,dublin,,,20/05/2024,"785,000.00","775,000.00","10,000.00",4,4,Semi-D,144
435,10 addison avenue glasnevin dublin 11 dublin,10, addison avenue,glasnevin,,,dublin 11,dublin,,,01/05/2024,"780,000.00","749,000.00","31,000.00",5,5,Terrace,197
166,1 west view military hill cork cork,1, west view,military hill,,,cork,cork,,,21/12/2023,"780,000.00","790,000.00","-10,000.00",4,6,End of Terrace,209
354,32 carysfort park blackrock dublin,32, carysfort park,,,,blackrock,dublin,SOUTH FACING,ADVANTAGE,24/11/2023,"780,000.00","795,000.00","-15,000.00",3,2,Semi-D,108
771,24 newgrove avenue sandymount dublin 4 dublin,24, newgrove avenue,sandymount,,,dublin 4,dublin,,ADVANTAGE,30/11/2023,"775,000.00","775,000.00",0,3,2,End of Terrace,92
1078,35 treesdale stillorgan dublin,35, treesdale,,,,stillorgan,dublin,,,19/12/2023,"775,000.00","675,000.00","100,000.00",3,3,Terrace,112
1154,25 university road galway city galway,25, university road,,,,galway city,galway,,,06/12/2023,"775,000.00","695,000.00","80,000.00",3,2,Detached,135
1958,11 eastmount gardens delgany wicklow,11, eastmount gardens,,,,delgany,wicklow,,,26/10/2023,"775,000.00","745,000.00","30,000.00",4,3,Semi-D,160
755,40 kincora drive clontarf dublin 3 dublin,40, kincora drive,clontarf,,,dublin 3,dublin,,ADVANTAGE,18/01/2024,"775,000.00","795,000.00","-20,000.00",4,1,Semi-D,153
1071,65 strand street skerries dublin,65, strand street,,,,skerries,dublin,,,12/10/2023,"770,000.00","645,000.00","125,000.00",4,1,Terrace,130
1329,18 the green moyglare abbey maynooth kildare,18, the green,moyglare abbey,,,maynooth,kildare,,,22/12/2023,"770,000.00","745,000.00","25,000.00",5,4,Detached,181
1309,12 glen easton lawns leixlip kildare,12, glen easton lawns,,,,leixlip,kildare,,,23/11/2023,"760,000.00","590,000.00","170,000.00",4,3,Semi-D,185
360,73 meadow vale blackrock dublin,73, meadow vale,,,,blackrock,dublin,,,20/12/2023,"760,000.00","695,000.00","65,000.00",5,3,Semi-D,
1950,8 loreto terrace loretto avenue bray wicklow,8, loreto terrace,loretto avenue,,,bray,wicklow,,,26/10/2023,"760,000.00","775,000.00","-15,000.00",3,2,Terrace,168
966,31 glenageary park glenageary dublin,31, glenageary park,,,,glenageary,dublin,,,25/03/2024,"755,000.00","749,950.00","5,050.00",4,3,Semi-D,
1970,35 burnaby mill greystones wicklow,35, burnaby mill,,,,greystones,wicklow,,,16/02/2024,"754,000.00","725,000.00","29,000.00",4,3,Detached,134
858,99 rathdown park terenure dublin 6 dublin,99, rathdown park,terenure,,,dublin 6,dublin,,,22/04/2024,"750,000.00","750,000.00",0,3,1,Semi-D,100
389,16 whites villas dalkey dublin,16, whites villas,,,,dalkey,dublin,,,13/12/2023,"750,000.00","595,000.00","155,000.00",2,2,Semi-D,80
1045,11 the green portmarnock dublin,11, the green,,,,portmarnock,dublin,,ADVANTAGE,04/12/2023,"750,000.00","645,000.00","105,000.00",3,3,End of Terrace,124
1777,4 the hermitage dunmore east waterford,4, the hermitage,,,,dunmore east,waterford,VIEWING ADVISED,ADVANTAGE,15/09/2023,"750,000.00","675,000.00","75,000.00",4,2,Detached,153
1328,29 lyreen park dunboyne road maynooth kildare,29, lyreen park,dunboyne road,,,maynooth,kildare,,,16/10/2023,"750,000.00","675,000.00","75,000.00",4,3,Detached,137
291,11 norwood court rochestown cork,11, norwood court,,,,rochestown,cork,,,01/12/2023,"750,000.00","695,000.00","55,000.00",4,3,Detached,194
367,98 the elms mount merrion avenue blackrock dublin,98, the elms,mount merrion avenue,,,blackrock,dublin,,,09/02/2024,"750,000.00","695,000.00","55,000.00",3,2,Apartment,105
1933,7 bramble glade ashford wicklow,7, bramble glade,,,,ashford,wicklow,,,20/05/2024,"750,000.00","795,000.00","-45,000.00",5,4,Detached,
932,57 dromawling road beaumont dublin 9 dublin,57, dromawling road,beaumont,,,dublin 9,dublin,,,29/09/2023,"747,000.00","675,000.00","72,000.00",4,3,Semi-D,181
524,24 birchfield heights goatstown dublin 14 dublin,24, birchfield heights,goatstown,,,dublin 14,dublin,,,27/10/2023,"745,000.00","685,000.00","60,000.00",4,2,Semi-D,98
559,9 the clovers beechpark avenue castleknock dublin 15 dublin,9, the clovers,beechpark avenue,castleknock,,dublin 15,dublin,,,10/11/2023,"740,000.00","695,000.00","45,000.00",3,4,Townhouse,
486,44 harbour view howth dublin 13 dublin,44, harbour view,howth,,,dublin 13,dublin,,,03/11/2023,"740,000.00","720,000.00","20,000.00",3,3,Terrace,120
823,6 greenlea grove terenure dublin 6 dublin,6, greenlea grove,terenure,,,dublin 6,dublin,,,13/12/2023,"740,000.00","725,000.00","15,000.00",2,2,Semi-D,113
525,4 mount carmel avenue goatstown dublin 14 dublin,4, mount carmel avenue,goatstown,,,dublin 14,dublin,,,20/10/2023,"737,000.00","685,000.00","52,000.00",3,2,Semi-D,124
675,1 whitethorn walk westminster park foxrock dublin 18 dublin,1, whitethorn walk,westminster park,foxrock,,dublin 18,dublin,,,08/05/2024,"733,000.00","795,000.00","-62,000.00",4,3,Semi-D,106
1060,22 carrigmore place saggart dublin,22, carrigmore place,,,,saggart,dublin,,,20/12/2023,"730,000.00","695,000.00","35,000.00",5,3,Detached,212
813,28 casimir road harolds cross dublin 6 dublin,28, casimir road,harolds cross,,,dublin 6,dublin,VIEWING ADVISED,ADVANTAGE,21/12/2023,"730,000.00","725,000.00","5,000.00",5,5,Terrace,163
509,20 taney avenue goatstown dublin 14 dublin,20, taney avenue,goatstown,,,dublin 14,dublin,,,15/12/2023,"728,500.00","725,000.00","3,500.00",3,2,Semi-D,89
941,35 saint annes road drumcondra dublin 9 dublin,35, saint annes road,drumcondra,,,dublin 9,dublin,,,31/01/2024,"725,000.00","595,000.00","130,000.00",3,3,Terrace,111
1021,103 inbhir ide malahide dublin,103, inbhir ide,,,,malahide,dublin,,,27/09/2023,"725,000.00","600,000.00","125,000.00",3,2,Semi-D,102
1473,8 caislean nua golf links road limerick city limerick,8, caislean nua,golf links road,,,limerick city,limerick,,,02/02/2024,"725,000.00","650,000.00","75,000.00",5,4,Detached,263
874,130 cabra park phibsborough dublin 7 dublin,130, cabra park,phibsborough,,,dublin 7,dublin,,,17/11/2023,"725,000.00","650,000.00","75,000.00",6,6,Terrace,165
639,152 broadford rise ballinteer dublin 16 dublin,152, broadford rise,ballinteer,,,dublin 16,dublin,,,28/11/2023,"723,000.00","675,000.00","48,000.00",3,1,Semi-D,130
1203,72 devon park salthill salthill galway,72, devon park,salthill,,,salthill,galway,,,20/12/2023,"720,000.00","650,000.00","70,000.00",4,2,Semi-D,135
368,43 westfield rock road blackrock dublin,43, westfield,rock road,,,blackrock,dublin,,,04/12/2023,"720,000.00","675,000.00","45,000.00",3,3,Duplex,107
1661,6 leigh valley ratoath meath,6, leigh valley,,,,ratoath,meath,,,01/03/2024,"720,000.00","685,000.00","35,000.00",4,4,Detached,240
656,88 ballyroan road templeogue dublin 16 dublin,88, ballyroan road,templeogue,,,dublin 16,dublin,,,15/04/2024,"720,000.00","695,000.00","25,000.00",4,2,Semi-D,140
1025,33 milford malahide dublin,33, milford,,,,malahide,dublin,,,16/11/2023,"720,000.00","710,000.00","10,000.00",4,3,Semi-D,129
1167,11 cuan an oir dungory west kinvara galway,11, cuan an oir,dungory west,,,kinvara,galway,SCHOOL NEARBY,ADVANTAGE,22/03/2024,"720,000.00","765,000.00","-45,000.00",5,5,Detached,270
641,13 kingston lawn ballinteer dublin 16 dublin,13, kingston lawn,ballinteer,,,dublin 16,dublin,,,10/11/2023,"715,000.00","650,000.00","65,000.00",3,2,Semi-D,127
